city,poi_name,Theme_ID,primary_tag,secondary_tags,logic_explanation,duration_hours,suitable_for,recommended_time_slot,queue_index,photo_index,indoor_outdoor,geo_location,opening_hours,is_rainy_day_friendly,is_family_friendly,
北京,故宫 (The Forbidden City),Central_Axis,皇家权力 (Imperial Power),"['建筑美学', '世界遗产', '深度历史', '摄影']",权力的核心，重点在于感受古代帝王的工作与生活环境[cite: 4],4.0,"['家庭', '深度游爱好者', '摄影爱好者']",上午 (避开午后高峰),5,5,室内外均有,{'area': '东城区'},旺季 (4月-10月): 08:30-17:00; 淡季 (11月-3月): 08:30-16:30 (周一闭馆),TRUE,TRUE,
北京,天坛 (Temple of Heaven),Central_Axis,祭祀礼仪 (Imperial Ritual),"['几何建筑', '世界遗产', '晨练纪实', '园林']",灵魂在于古代天人感应的哲学，而如今清晨本地人的晨练，则是这份‘天人合一’在当下的鲜活写照[cite: 1,2],2.0,"['家庭', '深度游爱好者', '摄影爱好者']",上午 (避开午后高峰),4,5,室外为主,{'area': '东城区'},旺季 (4月-10月): 06:00-21:00; 淡季 (11月-3月): 07:00-20:00 (周一闭馆),FALSE,TRUE
北京,颐和园 (Summer Palace),Imperial_Life,皇家园林 (Imperial Garden),"['湖光山色', '建筑摄影', '世界遗产', '休闲']",重点在于“借景”艺术和皇家休养生息的舒适感[cite: 5],3.0,"['家庭', '深度游爱好者', '摄影爱好者']",上午 (避开午后高峰),4,5,室外为主,{'area': '海淀区'},06:30-18:00 (旺季); 07:00-17:00 (淡季),FALSE,TRUE,
北京,慕田峪长城 (Mutianyu Great Wall),Imperial_Life,边塞雄关 (Border Fortress),"['户外徒步', '世界遗产', '自然风光', '摄影']",领略古代军事防御的宏大与自然的结合[cite: 3],4.0,"['家庭', '朋友小聚', '深度游爱好者']",上午 (避开午后高温),3,5,室外为主,{'area': '怀柔区'},旺季 (4月-10月): 07:30-18:00; 淡季 (11月-3月): 08:00-17:00,FALSE,TRUE,
北京,雍和宫 (Yonghe Temple),Imperial_Life,藏传佛教 (Tibetan Buddhism),"['宗教仪式', '艺术瑰宝', '历史沉淀', '祈福']",现存规格最高的佛教寺院，宗教与文化融合[cite: 1],1.5,"['家庭', '深度游爱好者', '摄影爱好者']",上午 (避开午后高峰),3,4,室内外均有,{'area': '东城区'},09:00-16:30 (周一闭馆),TRUE,TRUE,
北京,天安门广场 (Tiananmen Square),Central_Axis,国家地标 (National Landmark),"['政治象征', '历史叙事', '摄影打卡', '升旗仪式']",国家的中心，重点在于打卡其象征意义[cite: 2],1.0,"['家庭', '朋友小聚', '摄影爱好者']",上午 (升旗仪式),4,5,室外为主,{'area': '东城区'},全天开放,FALSE,TRUE,
北京,人民大会堂 (Great Hall of the People),Central_Axis,国家门面 (State Reception),"['宏大建筑', '政治文化', '室内摄影', '庄严']",近距离观察国家级会议与接待的宏大空间[cite: 1],1.5,"['深度游爱好者', '摄影爱好者', '朋友小聚']",上午 (参观高峰期),3,4,室内为主,{'area': '西城区'},周二至周日 09:00-16:00 (周一闭馆),TRUE,TRUE,
北京,毛泽东纪念堂 (Mao Zedong Memorial Hall),Central_Axis,伟人缅怀 (Commemoration),"['现代史', '仪式感', '庄严', '教育意义']",针对特定历史人物的瞻仰，动机明确[cite: 1],1.0,"['深度游爱好者', '独自旅行']",上午 (参观高峰期),4,3,室内为主,{'area': '东城区'},周二至周日 08:00-12:00 (免费，需预约),TRUE,TRUE,
北京,汉服体验 (Hanfu Experience),Old_Beijing,文化沉浸 (Cultural Immersion),"['人像摄影', '古风美学', '传统服饰', '体验感', '社交分享']",核心在于“变装”后产生的自我代入感[cite: 1],1.0,"['情侣', '朋友小聚', '摄影爱好者']",下午 (拍照光线好),2,4,室内为主,{'area': '东城区'},10:00-18:00,TRUE,TRUE,
北京,胡同游 (Hutong Tour),Old_Beijing,老城记忆 (Old City Life),"['民居建筑', '深度人文', '市井烟火', '漫步']",走街串巷感受北京最底层的文化脉络[cite: 1],2.0,"['家庭', '朋友小聚', '深度游爱好者']",上午 (避开午后高温),1,4,室外为主,{'area': '东城区'},全天,FALSE,TRUE,
北京,景山 (Jingshan Park),Central_Axis,俯瞰全城 (City Lookout),"['皇城全景', '皇家园林', '摄影', '本地生活']",核心体验是爬到最高点一眼看尽故宫壮美[cite: 1],1.5,"['家庭', '独自旅行', '摄影爱好者']",上午 (日出景色最佳),2,4,室外为主,{'area': '西城区'},06:00-21:00,FALSE,TRUE,
北京,奥林匹克公园 (Olympic Park),Modern_Vibe,双奥地标 (Dual Olympic Sites),"['现代建筑', '体育精神', '夜景摄影', '休闲']",感受现代中国的科技感与奥运遗产[cite: 2],2.5,"['家庭', '朋友小聚', '摄影爱好者']",下午 (灯光效果好),2,4,室外为主,{'area': '朝阳区'},06:00-22:00,FALSE,TRUE,
北京,涮肉 (Hot Pot),Old_Beijing,饕餮京味 (Local Gastronomy),"['社交餐饮', '铜锅传统', '烟火气息', '美食']",具有社交属性的京城饮食习惯[cite: 1],2.0,"['家庭', '朋友小聚', '情侣']",晚上 (正餐时间),2,3,室内为主,{'area': '东城区'},11:00-22:00,TRUE,TRUE,
北京,烤鸭 (Peking Duck),Old_Beijing,国宴美食 (Signature Cuisine),"['传统技艺', '仪式感', '必吃清单', '社交']",北京饮食的名片，具有极强的仪式感[cite: 1],2.0,"['家庭', '朋友小聚', '情侣']",晚上 (正餐时间),3,4,室内为主,{'area': '东城区'},11:00-22:00,TRUE,TRUE,
北京,胡同酒馆 (Hutong Bar),Old_Beijing,夜色胡同 (Nightlife & Chill),"['社交活动', '现代生活', '酒精饮品', '怀旧']",传统空间与现代生活方式的碰撞[cite: 1],3.0,"['朋友小聚', '情侣', '独自旅行']",晚上 (夜生活),1,3,室内为主,{'area': '东城区'},18:00-02:00,TRUE,FALSE,
北京,梨园京剧 (Peking Opera),Old_Beijing,艺术表演 (Artistic Performance),"['国粹文化', '晚间娱乐', '传统审美', '体验']",动态的非物质文化遗产展示[cite: 1],1.5,"['情侣', '朋友小聚', '深度游爱好者']",晚上 (演出时间),1,3,室内为主,{'area': '西城区'},演出时间不定，需提前查询,TRUE,TRUE,
