node_id,city,storyline,node_name,node_type,description,lat_long,dwell_time_min,serendipity_tip,host_story
SH-WK-01,上海,武康路的老洋房故事,武康大楼的最佳拍摄机位,视觉打卡,在淮海中路和武康路交叉口，用长焦可以拍出巨轮感。建议站在斑马线对面的人行道，等绿灯时车流较少。,"31.2105,121.4472",10,旁边的冰淇淋店有开心果口味，值得一试！,据说设计师邬达克在这里致敬了一艘轮船——建筑外形像一艘巨轮破浪前行。这里曾是多位文化名人的居所。
SH-WK-02,上海,武康路的老洋房故事,武康庭的隐秘入口,过渡节点,从武康路拐进泰安路，穿过一道不起眼的铁门，进入一个安静的庭院。这里是武康路最隐秘的角落。,"31.2118,121.4465",5,铁门旁的老信箱上还有上世纪的手写地址，可以拍一张复古照片。,武康庭曾是法租界的高级住宅区，庭院里的梧桐树已有百年历史。
SH-WK-03,上海,武康路的老洋房故事,密丹公寓的Art Deco立面,历史锚点,这栋建筑建于1931年，是上海罕见的Art Deco风格公寓。注意看立面的几何线条和装饰细节。,"31.2132,121.4458",8,公寓楼下的杂货店卖着老式玻璃瓶装汽水，是拍照的好道具。,密丹公寓曾是上海滩名流的聚集地，据说张爱玲常来这里拜访朋友。
SH-WK-04,上海,武康路的老洋房故事,老麦咖啡馆的窗边座位,味觉停留,这家咖啡馆藏在武康路的一栋老洋房里。选二楼的窗边座位，可以看着梧桐树叶在风中摇曳。,"31.2145,121.4452",25,咖啡馆的厕所里贴满了老上海的明信片，别忘了进去看看。,老麦咖啡馆的老板是一位收藏家，店里的每一件家具都有故事。
SH-WK-05,上海,武康路的老洋房故事,巴金故居的花园,历史锚点,巴金在这里写下了《随想录》。花园里的玉兰树是他亲手栽种的，每年春天盛开。,"31.2158,121.4445",15,花园角落的石凳上刻着巴金的一句话，仔细找找看。,巴金在这栋小楼里生活了四十多年，这里见证了中国现代文学的重要篇章。
SH-WK-06,上海,武康路的老洋房故事,武康路390号的红色屋顶,视觉打卡,这栋建筑的红色屋顶在梧桐树的映衬下格外醒目。是武康路上最上镜的角度之一。,"31.2172,121.4438",10,红色屋顶下方的白色围墙上常有流浪猫晒太阳，如果你带了猫粮，它们会很亲人。,这栋建筑曾是意大利领事的官邸，红色屋顶是地中海风格的标志性元素。
SH-WK-07,上海,武康路的老洋房故事,狮语画廊的当代艺术,购物发现,一家藏在老洋房里的当代艺术画廊，不定期举办展览。即使不买画，也值得进去感受一下艺术氛围。,"31.2185,121.4432",12,画廊的后院有一个小天井，种着一棵百年银杏，秋天时满地金黄。,狮语画廊是上海当代艺术的重要推手，许多年轻艺术家从这里起步。
SH-WK-08,上海,武康路的老洋房故事,Farine面包店的法棍,味觉停留,这家法式面包店的法棍和可颂是武康路上的隐藏美食。买一个法棍，边走边啃，很有巴黎街头的感觉。,"31.2198,121.4425",15,下午4点后，面包店会打折出售当天剩余的面包，是捡漏的好时机。,主厨是一位法国人，坚持用传统法式工艺制作面包，面粉都是从法国进口的。
SH-WK-09,上海,武康路的老洋房故事,湖南别墅的铸铁大门,视觉打卡,湖南别墅的铸铁大门是武康路上最精美的铁艺作品之一。注意看门上的花纹和门把手的设计。,"31.2212,121.4418",8,大门旁边的围墙上有一个小窗户，透过窗户可以看到别墅花园的一角。,湖南别墅曾是上海滩大亨的私宅，据说杜月笙在这里举办过无数次宴会。
SH-WK-10,上海,武康路的老洋房故事,武康路尽头的复兴西路,过渡节点,走到武康路的尽头，是复兴西路的交叉口。这里有一个小小的街心花园，是结束这段漫步的完美终点。,"31.2225,121.4412",10,街心花园里有一座不起眼的雕塑，是纪念一位在这里生活过的音乐家。,复兴西路和武康路的交叉口，曾是法租界的边界，两种城市风貌在这里交汇。
