项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,项目备注
BJ-ACTIVITY-01,北京,活动,梨园京剧,19:30场，1h 含演出票+茶水+京味小吃…,400,,,,
BJ-ACTIVITY-02,北京,活动,汉服体验,妆造+跟拍+精修，499起,500,,,,
BJ-ACTIVITY-03,北京,活动,涮肉,,120,,,,
BJ-ACTIVITY-04,北京,活动,烤鸭,,120,,,,
BJ-ACTIVITY-05,北京,活动,胡同游,包含人力三轮 + 导览,300,,,,
BJ-ACTIVITY-06,北京,活动,胡同酒馆,,80-150,,人,(从门票移入) 含酒水 / 简餐，视酒馆档次
BJ-TICKET-01,北京,门票,天坛,联票（祈年殿周一闭馆）,28,34,人,
BJ-TICKET-02,北京,门票,天安门广场,,,,,,免费开放，但进入可能需要安检和预约
BJ-TICKET-03,北京,门票,奥林匹克公园,,,,,,园区免费进入，内部场馆（如鸟巢、水立方）需单独购票
BJ-TICKET-04,北京,门票,慕田峪长城,含往返摆渡车和往返索道,180,,,,
BJ-TICKET-05,北京,门票,故宫,门票（周一闭馆）,40,60,人,
BJ-TICKET-06,北京,门票,景山,门票,2,,,,
BJ-TICKET-07,北京,门票,雍和宫,门票,25,,,,
BJ-TICKET-08,北京,门票,颐和园,门票,20,30,人,
BJ-TICKET-09,北京,门票,人民大会堂,,0,,人,(从活动移入) 外景免费，入内参观需购票（约30元，非会议期间开放）
BJ-TICKET-10,北京,门票,毛泽东纪念堂,,免费,,,,(从活动移入) 需实名预约

SH-ACTIVITY-01,上海,活动,外滩,,免费,,,观景免费，游船 / 登楼另计
SH-ACTIVITY-02,上海,活动,外滩用餐,,100-200,,人,景观餐厅 / 本帮菜
SH-ACTIVITY-03,上海,活动,本帮菜,,70-120,,人,普通餐厅
SH-ACTIVITY-04,上海,活动,武康路,,免费,,,街区漫步免费，咖啡馆 / 餐厅另计
SH-ACTIVITY-05,上海,活动,汉服体验,妆造+跟拍+精修，499起,500,,,
SH-ACTIVITY-06,上海,活动,法租界小酌,,100-150,,人,酒吧 / 清吧
SH-ACTIVITY-07,上海,活动,非遗老布手工体验,朱家角,,,,
SH-ACTIVITY-08,上海,活动,黄浦江夜游,龙船，十六铺码头往返（含自助）,286,,,
SH-TICKET-01,上海,门票,上海博物馆,免费无需预约,0,,,
SH-TICKET-02,上海,门票,中共一大会址纪念馆,免费，需实名预约,0,,,
SH-TICKET-03,上海,门票,人民公园 (上海),,,,,
SH-TICKET-04,上海,门票,城隍庙,门票（送3根清香）,10,,,
SH-TICKET-05,上海,门票,朱家角古镇,大门票,0,,,
SH-TICKET-06,上海,门票,豫园,门票,30,40,人,
SH-TICKET-07,上海,门票,迪士尼乐园,平日票,475,719,人,价格分级多，此为常规和平日高峰估算价
SH-TICKET-08,上海,门票,静安寺,门票,50,,,
GZ-ACTIVITY-01,广州,活动,SPA自助,,100-200,,,含按摩 + 自助餐
GZ-ACTIVITY-02,广州,活动,世界工厂探秘,,0,,人,工业游 / 工厂参观
GZ-ACTIVITY-03,广州,活动,冰啤收尾,,50-80,,人,酒吧 / 清吧
GZ-ACTIVITY-04,广州,活动,咏春拳体验,1.5小时课程,200,,,
GZ-ACTIVITY-05,广州,活动,地道粤菜,,80-150,,人,正餐
GZ-ACTIVITY-06,广州,活动,夜市大排档,,50-80,,人,
GZ-ACTIVITY-07,广州,活动,市场淘宝,,无固定单价,,,购物消费
GZ-ACTIVITY-08,广州,活动,永庆坊,,免费,,,街区免费，内部展馆 / 体验另计
GZ-ACTIVITY-09,广州,活动,沙面,,免费,,,街区免费
GZ-ACTIVITY-10,广州,活动,网红直播基地探访,联系基地安排参观和讲解,300,,,
GZ-ACTIVITY-11,广州,活动,非遗体验,如广彩、广绣等手工艺体验,150,,,
GZ-TICKET-01,广州,门票,中山纪念堂,主体建筑门票,10,,,
GZ-TICKET-02,广州,门票,南越王博物院,王墓展区,10,,,
GZ-TICKET-03,广州,门票,古龙峡,玻璃大峡谷（云天玻霸）套票,238,,,
GZ-TICKET-04,广州,门票,广州十三行博物馆,免费,需预约,,,
GZ-TICKET-05,广州,门票,广州塔,433米白云星空观光票,150,,,
GZ-TICKET-06,广州,门票,荔湾博物馆,门票,8,,,
GZ-TICKET-07,广州,门票,越秀公园,免费,0,,,
GZ-TICKET-08,广州,门票,陈家祠,门票,10,,,
CQ-ACTIVITY-01,重庆,活动,三峡游轮,重庆-宜昌3日游世纪号含英文服务/导游,3299,,,
CQ-ACTIVITY-02,重庆,活动,三峡游轮,重庆-宜昌3日游华夏号含英文服务,2160,,,
CQ-ACTIVITY-03,重庆,活动,下浩里,,免费,,,街区免费，围炉煮茶约59.9 元 / 4 人
CQ-ACTIVITY-04,重庆,活动,两江夜游,含船票,138,,,
CQ-ACTIVITY-05,重庆,活动,山城巷传统风貌区,,免费,,,
CQ-ACTIVITY-06,重庆,活动,川剧变脸表演,含茶水小吃,150,,,
CQ-ACTIVITY-07,重庆,活动,开始游轮行,,,,,
CQ-ACTIVITY-08,重庆,活动,洪崖洞火锅,,,,,
CQ-ACTIVITY-09,重庆,活动,盖碗茶,,8-15,,杯,老茶馆
CQ-ACTIVITY-10,重庆,活动,返回重庆,,,,,
CQ-ACTIVITY-11,重庆,活动,重庆人民大礼堂,,,,,
CQ-ACTIVITY-12,重庆,活动,麻花制作体验,在磁器口古镇,80,,,
CQ-TICKET-01,重庆,门票,人民大礼堂,外观免费，入内参观,10,,,
CQ-TICKET-02,重庆,门票,大足石刻,宝顶山,155,,,
CQ-TICKET-03,重庆,门票,武隆,天生三桥+地缝,260,,,
CQ-TICKET-04,重庆,门票,磁器口古镇,免费,0,,,
CQ-TICKET-05,重庆,门票,长江索道,单程票,30,,,
YS-ACTIVITY-01,阳朔,活动,中餐烹饪体验,市场买菜+烹饪课程,200,,,
YS-ACTIVITY-02,阳朔,活动,全地形山地车,,200-300,,小时 / 人,含教练 / 装备
YS-ACTIVITY-03,阳朔,活动,十里画廊骑行,自行车租赁,20,,,
YS-ACTIVITY-04,阳朔,活动,古镇,,免费,,,
YS-ACTIVITY-05,阳朔,活动,岩洞探险,月亮水岩洞，含英文专业教练（提前2天约）,300,,,
YS-ACTIVITY-06,阳朔,活动,漓江电动竹筏,兴坪-九马画山往返（4人笺 可拼）,140,,,
YS-ACTIVITY-07,阳朔,活动,遇龙河漂流,双人筏 20操作费,220,,,
YS-ACTIVITY-08,阳朔,活动,阳朔西街,,免费,,,街区免费，酒吧 / 餐饮另计
YS-ACTIVITY-09,阳朔,活动,飞拉达,攀岩体验，含英文专业教练（提前2天约）,300,,,
YS-TICKET-01,阳朔,门票,月亮山,赏月道,0,,,
YS-TICKET-02,阳朔,门票,相公山,门票,60,,,
ZJJ-ACTIVITY-01,张家界,活动,七星山飞拉达,攀岩体验（含门票）,372,,,
ZJJ-ACTIVITY-02,张家界,活动,三下锅,,40-60,,人,普通餐馆，3-4 人份约50-90 元
ZJJ-ACTIVITY-03,张家界,活动,沱江泛舟,白天,35,,,
ZJJ-ACTIVITY-04,张家界,活动,苗族长桌宴,特色餐，人均80,,,,
ZJJ-ACTIVITY-05,张家界,活动,魅力湘西表演,普通票,228,,,
ZJJ-TICKET-01,张家界,门票,七十二奇楼,门票,68,,,
ZJJ-TICKET-02,张家界,门票,凤凰古城,古城免费进入，沱江泛舟等需付费,免费,,,
ZJJ-TICKET-03,张家界,门票,天子山索道,单程,72,,,
ZJJ-TICKET-04,张家界,门票,天门山国家森林公园,A/B/C线套票，含索道+大巴,278,,,
ZJJ-TICKET-05,张家界,门票,张家界国家森林公园,门票,227,,,
ZJJ-TICKET-06,张家界,门票,百龙天梯,单程,65,,,
ZJJ-TICKET-07,张家界,门票,芙蓉镇,门票,108,,,
ZJJ-TICKET-08,张家界,门票,黄石寨索道,单程,65,,,
XA-ACTIVITY-01,西安,活动,兵马俑DIY体验,制作小型兵马俑模型,55,,,
XA-ACTIVITY-02,西安,活动,唐乐舞表演,贵宾票,198,,,
XA-ACTIVITY-03,西安,活动,回民街,,免费,,,街区免费，小吃人均50-100 元
XA-ACTIVITY-04,西安,活动,城墙自行车租赁,单人车,45,2小时,人,
XA-ACTIVITY-05,西安,活动,大唐不夜城,,免费,,,街区免费，演出 / 汉服租赁另计
XA-ACTIVITY-06,西安,活动,西安城墙自行车租赁,,,,,
XA-TICKET-01,西安,门票,大唐芙蓉园,门票,120,,,
XA-TICKET-02,西安,门票,大慈恩寺,门票,45,,,
XA-TICKET-03,西安,门票,大慈恩寺 (大雁塔),,,,,
XA-TICKET-04,西安,门票,大雁塔,登塔费,25,,,
XA-TICKET-05,西安,门票,秦始皇兵马俑博物馆,门票,120,,,
XA-TICKET-06,西安,门票,西安城墙,门票,54,,,
XA-TICKET-07,西安,门票,钟鼓楼,钟楼、鼓楼联票,50,,,
XA-TICKET-08,西安,门票,骊山园,与兵马俑为联票,0,,,
YN-ACTIVITY-01,云南,活动,周城扎染坊,参观或体验,25,,,
YN-ACTIVITY-02,云南,活动,周城扎染坊 (白族扎染体验),,,,,
YN-ACTIVITY-03,云南,活动,唐卡绘制体验,,200-500,,人,含材料 / 指导，作品可带走
YN-ACTIVITY-04,云南,活动,昆明石林,,130,,人,门票
YN-ACTIVITY-05,云南,活动,昆明老街,,免费,,,街区免费
YN-ACTIVITY-06,云南,活动,洱海,,,,,
YN-ACTIVITY-07,云南,活动,白族文化体验,,,,,
YN-ACTIVITY-08,云南,活动,白族民居三道茶,含参观及品茶,38,,,
YN-ACTIVITY-09,云南,活动,纳西文化体验,,80-150,,人,东巴纸 / 东巴画等
YN-ACTIVITY-10,云南,活动,藏族文化体验(唐卡),唐卡绘制体验课（基础）,200,,,
YN-ACTIVITY-11,云南,活动,返回丽江,,,,,
YN-ACTIVITY-12,云南,活动,香格里拉,,无固定单价,,,景区门票 / 体验另计，如松赞林寺90 元 / 人
YN-TICKET-01,云南,门票,丽江古城,,,,,
YN-TICKET-02,云南,门票,丽江古城维护费,进入古城需缴,50,,,
YN-TICKET-03,云南,门票,大理古城,,,,,
YN-TICKET-04,云南,门票,崇圣寺三塔,含电瓶车,90,,,
YN-TICKET-05,云南,门票,普达措国家公园,门票+观光车,138,,,
YN-TICKET-06,云南,门票,洱海生态廊道电瓶车,单程或分段,25,,,
YN-TICKET-07,云南,门票,独克宗,门票,0,,,
YN-TICKET-08,云南,门票,独克宗古城,,,,,
YN-TICKET-09,云南,门票,虎跳峡,景区门票,45,,,
GUIZ-ACTIVITY-01,贵州,推荐活动,施洞大集,,0,,,
GUIZ-ACTIVITY-02,贵州,推荐活动,蜡染体验,,100,,,
GUIZ-ACTIVITY-03,贵州,推荐活动,酿酒体验,,400,,,
GUIZ-ACTIVITY-04,贵州,活动,苗银制作体验,在施洞苗寨或周边,150,,,
GUIZ-TICKET-01,贵州,门票,下司古镇,门票,60,,,
GUIZ-TICKET-02,贵州,门票,施洞苗银村,免费进入,0,,,
GUIZ-TICKET-03,贵州,门票,甲秀楼,免费参观,0,,,
GUIZ-TICKET-04,贵州,门票,肇兴侗寨,门票+观光车,80,,,
GUIZ-TICKET-05,贵州,门票,荔波小七孔,门票+观光车+保险,170,,,
GUIZ-TICKET-06,贵州,门票,青岩古镇,门票（不含内部小景点）,10,,,
CD-ACTIVITY-01,成都,活动,串串,,,,,
CD-ACTIVITY-02,成都,活动,人民公园,,100,,人,
CD-ACTIVITY-03,成都,活动,太古里,,,,,
CD-ACTIVITY-04,成都,活动,宽窄巷子,,,,,
CD-ACTIVITY-05,成都,活动,川剧变脸表演,,100,,人,
CD-TICKET-01,成都,门票,大熊猫基地,,100,,人,
CD-TICKET-02,成都,门票,成都博物馆,,100,,人,
CD-TICKET-03,成都,门票,武侯祠,,100,,人,
